Facility Name,Trial Stage,Bag Set,Bag number,Lined Hot Cup D,Hot Cup Lid A,Molded Fiber Bowl C,Spoon C,Coffee Pod,Spoon A,Straw A,Momlded Fiber Bowl B,Cold Cup B,Fiber Clamshell,Butcher Paper,Navel orange peel,Cellulose bag,Lined Hot Cup D.1,Hot Cup Lid A.1,Bag B,Molded Fiber Bowl C.1,Cold Cup Lid B,Spoon C.1
Facility 10 (Windrow),First Removal,A (blue),9,,,,,0.198,,0,0.872,,,1.009,0.04,0.863,,,,,,
Facility 10 (Windrow),First Removal,B (green),10,0.43183158751144113,0,0,,,,,,0,0.386,0.131,0.061,0.667,0.432,0,0.984,0,,
Facility 10 (Windrow),First Removal,B (green),2,0.5049018610800367,0,0.918520020273695,,,,,,0,0.469,0.826,0,0.237,0.505,0,0.377,0.919,,
Facility 10 (Windrow),First Removal,B (green),4,0.497152445845622,0,0,,,,,,0.98,0.212,,0.047,0.757,0.497,0,1.28,0,,
Facility 10 (Windrow),First Removal,B (green),6,0.16404962880097634,0,0,,,,,,0,0.146,0.39,0.095,0.593,0.164,0,1.024,0,,
Facility 10 (Windrow),First Removal,B (green),7,0.23367232787552125,0,0.5708667004561581,,,,,,0,0,0,0.007,0.501,0.234,0,0.4,0.571,,
Facility 10 (Windrow),First Removal,C (yellow),1,,,,0,,,,,,,0.217,0.062,0.161,,,,,0,0
Facility 10 (Windrow),First Removal,C (yellow),3,,,,0.9714119832791452,,,,,,,0,0.033,0.109,,,,,0,0.971
Facility 10 (Windrow),First Removal,C (yellow),5,,,,0.6632605666511843,,,,,,,0,0,0.051,,,,,0,0.663
Facility 10 (Windrow),First Removal,C (yellow),6,,,,0.02239897816999535,,,,,,,0.711,0,0.489,,,,,0.031,0.022
Facility 10 (Windrow),First Removal,C (yellow),7,,,,0.011356247097073849,,,,,,,0.916,0.061,0.625,,,,,0,0.011
Facility 10 (Windrow),Second Removal,A (blue),1,,,,,0,0.001,0,0,,,0,0,0.189,,,,,,
Facility 10 (Windrow),Second Removal,A (blue),10,,,,,0.012,0,0,0.041,,,0,0,0.291,,,,,,
Facility 10 (Windrow),Second Removal,A (blue),3,,,,,0,0,0,0,,,0.014,0,0.111,,,,,,
Facility 10 (Windrow),Second Removal,A (blue),5,,,,,0,0,0,,,,0.015,0.065,0.443,,,,,,
Facility 10 (Windrow),Second Removal,A (blue),8,,,,,0.01,0,0,0.25,,,0.534,0.056,,,,,,,
Facility 10 (Windrow),Second Removal,B (green),1,0,0,0,,,,,,0,0,0,0,0.183,0,0,0.253,0,,
Facility 10 (Windrow),Second Removal,B (green),3,0,0,0,,,,,,0,0,0.152,0,0.012,0,0,0.041,0,,
Facility 10 (Windrow),Second Removal,B (green),5,0,0,0,,,,,,0,0.12,0,0,0.167,0,0,,0,,
Facility 10 (Windrow),Second Removal,B (green),9,0,0,0.09293461733400912,,,,,,0,0.019,0.117,0.046,0.179,0,0,0,0.093,,
Facility 10 (Windrow),Second Removal,C (yellow),10,,,,0,,,,,,,1.104,0.037,,,,,,0,0
Facility 10 (Windrow),Second Removal,C (yellow),2,,,,0,,,,,,,0,0,0.005,,,,,0,0
Facility 10 (Windrow),Second Removal,C (yellow),4,,,,0,,,,,,,0,0,0.47,,,,,0.218,0
Facility 10 (Windrow),Second Removal,C (yellow),9,,,,0,,,,,,,1.494,0,0.938,,,,,0,0
Facility 3 (EASP),First Removal,(blank),(blank),0.049195775711558684,0.0021591870175817394,0.3557284852977888,0,0.006,0.026,0.009,0.287,0,0.122,0.065,,0.111,0.049,0.002,0.079,0.356,0,0
Facility 3 (EASP),Second Removal,(blank),(blank),0.25223689186918674,0,0.3554295690443257,0,0,0,0,0.228,0,0.078,0.189,,0.026,0.252,0,0,0.355,0,0
Facility 4 (In-Vessel),First Removal,(blank),(blank),0,0.031515466576000815,0,0.08160835036455552,0,0.036,0.116,0,0.387,0,0.106,,0.014,0,0.032,0.112,0,0,0.082
Facility 4 (In-Vessel),Second Removal,(blank),(blank),0,0.0034807752159299148,0,0.028900108794739712,0,0.004,0,0,0,0,0,,0,0,0.003,0.011,0,0,0.029
